time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2024/12/06 18:26:39.878490175,1733509599,877907482,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:39.977896921,1733509599,977299265,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.79402998,1733509600,78622358,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.179184344,1733509600,178236757,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.280433709,1733509600,279801441,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.379061002,1733509600,378223157,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.480573316,1733509600,479420707,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.569778109,1733509600,568643019,20,gps_publisher,"Publishing GPS data: 45.5055182, 9.1658703, 133.716",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:40.577344231,1733509600,576884040,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.680913202,1733509600,679599629,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.781451058,1733509600,780802735,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.882291474,1733509600,881640002,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:40.980658522,1733509600,980027532,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.80365928,1733509601,79726809,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.180685172,1733509601,179184170,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.283299928,1733509601,282630123,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.381248695,1733509601,380639391,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.480896170,1733509601,480358607,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:41.569654832,1733509601,568606799,20,gps_publisher,"Publishing GPS data: 45.5055119, 9.1658578, 134.301",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:41.580584720,1733509601,580145825,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
